18禁	18禁 🔞
bikini	bikini 👙
bingo	bingo (o゜▽゜)o☆[BINGO!]
boom	boom 💣
bug	bug 🐛
bye	bye ヾ(￣▽￣)Bye~Bye~ (ToT)/~~~
clear	clear 🆑
cloud	cloud ☁️
cookie	cookie 🍪
cookies	cookies 🍪
cool	cool 🆒
dagger	dagger † ‡ 🗡
del	del ∇
delta	delta Δ 𝛥 δ 𝛿
end	end 🔚
epsilon	epsilon Ε 𝛦 ε 𝜀 ϵ 𝜖
eta	eta Η 𝛨 η 𝜂
fight	fight ⚔️
free	free 🆓
gamma	gamma Γ 𝛤 γ 𝛾
hbar	hbar ℏ ħ
info	info ℹ️
information	information ℹ️
iota	iota Ι 𝛪 ι 𝜄
joker	joker 🃏
kappa	kappa Κ 𝛫 κ 𝜅 ϰ 𝜘
kiss	kiss 💋
lambda	lambda Λ 𝛬 λ 𝜆
link	link 🔗
love	love 💓 💕 👩‍❤️‍👨 ♥️
money	money 💰
nabla	nabla ∇
new	new 🆕
number	number №
omega	omega Ω 𝛺 ω 𝜔
omicron	omicron Ο 𝛰 ο 𝜊
on	on 🔛
orz	orz ○|￣|_
pH	pH ㏗
panda	panda 🐼
parking	parking 🅿️
partial	partial ∂ 𝛛 𝜕 𝝏
party	party 🥳
peace	peace ☮️
phi	phi Φ 𝛷 φ 𝜑 ϕ 𝜙
ppm	ppm ㏙
psi	psi Ψ 𝛹 ψ 𝜓
respect	respect 🫡
rho	rho Ρ 𝛲 ρ 𝜌 ϱ 𝜚
rocket	rocket 🚀
sigma	sigma Σ 𝛴 σ 𝜎
soon	soon 🔜
tau	tau Τ 𝛵 τ 𝜏
theta	theta Θ 𝛩 ϴ 𝛳 θ 𝜃 ϑ 𝜗
top	top 🔝
unbelievable	unbelievable 🫢
up	up 🆙
upsilon	upsilon Υ 𝛶 υ 𝜐
vs	vs 🆚
wireless	wireless 🛜
xi	xi Ξ 𝛯 ξ 𝜉
zeta	zeta Ζ 𝛧 ζ 𝜁
Åland	Åland 🇦🇽
〇	〇 0️⃣
㖿	㖿 ✌🏻️ (＾－＾)V
䢂	䢂 🛗
一	一 1️⃣
七	七 7️⃣
万	万 卍 卐
三	三 3️⃣
上	上 ⬆️ ↑
下	下 ⬇️ ↓
不	不 🙅‍♂️ 🙅‍♀️
东	东 🀀
中	中 🀄
串	串 🍢
乖	乖 😬️ o(*^＠^*)o
乘	乘 ✖️
九	九 9️⃣
书	书 📖 📚
乳	乳 🥛
二	二 2️⃣
云	云 ☁️
五	五 5️⃣
井	井 # ＃ #️⃣
交	交 🈘 ∩
亲	亲 💋
仔	仔 🧒🏻
他	他 👤️ ╭(′•㉨•′)╭☞
代	代 ㈹
企	企 🧍🏻 ㊭ ㈽
伏	伏 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
休	休 ㊡ ㉁
优	优 ㊝
伞	伞 🌂️
伤	伤 🤕️
你	你 🫵🏻
信	信 ✉️ 💌
倒	倒 🤒️ 🫗
偏	偏 ∂ 𝛛 𝜕 𝝏
停	停 ⛔️ 🛑 ✋
傻	傻 🐷️ 🤪
儿	儿 👦🏻️
克	克 ㎍ ㎎ ㎏ ㌘
兑	兑 ☱
兔	兔 🐰
党	党 ☭
八	八 8️⃣
六	六 6️⃣
兰	兰 🀣
円	円 💴️
再	再 🈞
写	写 ✍🏻️ ㊢
冬	冬 🀩
冰	冰 🧊
冷	冷 🥶
冻	冻 🥶
减	减 ➖
凶	凶 (*￣(エ)￣) (+(工)+╬)
刀	刀 🔪
分	分 ′ ㌣
切	切 🤪  •᷄ࡇ•᷅ (ˉ▽￣～)切~~
初	初 🈠
别	别 (＞﹏＜)
前	前 ➡️ ⬆️ 🈜
剑	剑 ⚔️
剪	剪 ✂️
割	割 🈹
加	加 ➕
劳	劳 ㊘ ㈸
勺	勺 🥄
勾	勾 ✅️ ✔️ ✓ √
包	包 💼
北	北 🀃
匙	匙 🥄
医	医 ㊩
十	十 🔟
千	千 仟 ㌔
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
协	协 ㊯ ㈿
南	南 🀁
印	印 ㊞
厘	厘 ㌢
去	去 乀(ˉεˉ乀) (ーー゛)
叉	叉 ❌ ❎
双	双 🈒
反	反 ¬
发	发 🀅
口	口 👄
可	可 🉑
右	右 ➡️ →
号	号 📯️ 🎺
合	合 🈴
同	同 々 〻
名	名 ㊔ ㈴
后	后 ⬅️ ⬇️ 🈝
吐	吐 🤮
吓	吓 😦️
吨	吨 ㌧
听	听 👂
吹	吹 🌬️ 🈥
吻	吻 💋
呃	呃 🤔
呆	呆 😳 (⊙_⊙)
呼	呼 ㈺
和	和 & ∑ ∧
咦	咦 🤨
哇	哇 😃️ 😯️ [哇] 🤩 wow~⊙o⊙
哈	哈 😄
哎	哎 😮‍💨
哟	哟 😯️
哦	哦 😯
哭	哭 😭
哼	哼 😤️ o(￣ヘ￣o＃)
唇	唇 💋 👄
唉	唉 😮‍💨
唱	唱 🎤️
唵	唵 🕉️
啊	啊 🤔
喂	喂 (#`O′)
喊	喊 🗣️
喔	喔 😮️ 😶️
喜	喜 囍
喵	喵 🐱
営	営 🈺️
嗅	嗅 👃
嗨	嗨 ヾ(≧∇≦*)ゝ (｡･∀･)ﾉﾞ Hi~o(*￣▽￣*)ブ
嗯	嗯 😶️ 🤨
嗷	嗷 ┗|｀O′|┛嗷~~ ヾ(≧O≦)〃嗷~ (>▽<)
嘘	嘘 🤫
嘴	嘴 👄
噎	噎 [噎住](*⊙~⊙)
噢	噢 😐️ 😮️
四	四 4️⃣
囧	囧 😅️ 😰️ （´Д`）
困	困 😪 🥱
圆	圆 ⭕️
土	土 ㊏ ㈯
地	地 ⏚
坎	坎 ☵
坑	坑 🕳
坛	坛 ⚱️
坞	坞 ⚓️
坟	坟 ⚰️ 🪦
坤	坤 ☷
埃	埃 Å
塔	塔 🗼
墓	墓 🪦
声	声 🈤
壶	壶 🫖
夏	夏 🀧
多	多 🈕
夜	夜 🌃️ ㊰
天	天 🈗
奖	奖 🏅 🎖 🏆
女	女 ♀
奶	奶 🥛
她	她 👤️
好	好 👌 👍 🙆‍♂️ 🙆‍♀️
妃	妃 👸🏻️
妈	妈 👩🏻️
妻	妻 👰🏻‍♀️
姜	姜 🫚
娃	娃 👶🏻️
婗	婗 👧🏻️
婴	婴 👶🏻️
字	字 🈑
学	学 ㊫ ㈻
宅	宅 🏠️ 🤓
安	安 🉃 ㎀ ㎁ ㎂ ㎃ ㎄
宗	宗 ㊪
家	家 🏠
对	对 ✅ ✔
小	小 🤏 🤌
少	少 🤏 🤌
尺	尺 📏️ 📐
屁	屁 😛️
屋	屋 🏠️ 🏘 🏡
屎	屎 💩
山	山 ⛰️
岛	岛 🏝️
巢	巢 🪹 🪺
左	左 ⬅️ ←
差	差 👎🏻️
巽	巽 ☴
帆	帆 ⛵️
帕	帕 ㎩ ㍱ ㎪ ㎫ ㎬
帚	帚 🧹
帽	帽 🎩
干	干 ☰
并	并 ∪
幼	幼 ㉅
床	床 🛏
庙	庙 🛕
度	度 ° ℃ ℉
弓	弓 🏹️
弧	弧 ⌒
弱	弱 👎 (。・・)ノ
强	强 👍
得	得 🉐
心	心 ♥️
怒	怒 😡 😠 💢
怕	怕 😟
惊	惊 🗯️ 😨 😱
惨	惨 😦️ 😫️
想	想 💭
憨	憨 🐷️
懒	懒 _(:3」∠)_
或	或 ∨
戟	戟 🔱
户	户 🪟
扇	扇 🪭
手	手 ✋
扑	扑 (/≧▽≦)/
打	打 🈱
托	托 🫴🏻
找	找  🔍 🔎
抓	抓 🫳🏻 W(￣_￣)W
投	投 🈧
抖	抖 😨 😱
折	折 乛 乚 亅
抱	抱 🫂
拖	拖 ヽ(゜▽゜)－C<(/;◇;)/~
拜	拜 🙏
拳	拳 👊
拿	拿 🫳🏻
指	指 🈯
捏	捏 🤏🏻 🤌🏻
捕	捕 🈨
捧	捧 🤲🏻
捺	捺 丶
推	推 🫸 🫷
掬	掬 🤲🏻
撇	撇 丿
撮	撮 🤌🏻
操	操 🖕 凸(艹皿艹)
文	文 ㉆
料	料 🈛
斧	斧 🪓
斩	斩 ˋ(°▽、°)(o(￣▽￣///(斩!!)
新	新 🆕
无	无 🈚️
日	日 ☀️
星	星 ⭐️ * ⁑ *️⃣
映	映 🈙
春	春 🀦
晕	晕 😵 😵‍💫
晴	晴 ☀️
月	月 🈷️
有	有 🈶
朔	朔 🌑️
木	木 🪵 ㊍ ㈭
本	本 🉀
杖	杖 🦯
杧	杧 🥭
杯	杯 🫗
枝	枝 🌿️
枪	枪 🔫 ▄︻┻┳═一…… (╬ﾟдﾟ)▄︻┻┳═一 ▄︻┻┳═一……☆（>○<） ▄︻┻┳═一∵∴∷∶∵(∵_,∵)>>>>
枫	枫 🍁️
枭	枭 🦉
柴	柴 🪵
树	树 🌳
栗	栗 🌰️
株	株 ㊑ ㈱
桃	桃 🍑
桥	桥 🌉
桶	桶 🪣 🛢 🗑
梅	梅 🀢
梦	梦 💭️
梨	梨 🍐
梯	梯 🪜
梳	梳 🪮
棒	棒 👍
棺	棺 ⚰️
椅	椅 💺️ 🪑
椰	椰 🥥
横	横 一
樽	樽 🏺️
橙	橙 🟧
欧	欧 ㏀ ㏁
正	正 ✔️ + ㊣
段	段 ¶ ⁋
母	母 👩🏻️
比	比 🆚
求	求 🥺
汗	汗 😅 😰 😓
汤	汤 🥣
泡	泡 🫧
注	注 ㊟
泪	泪 😭️ 😢 🥲
洞	洞 🕳
派	派 🥧
浪	浪 🌊
海	海 🌊️
涨	涨 🆙️ 📈️
渔	渔 🎣️
游	游 🈫
満	満 🈵️
溅	溅 💦️
滚	滚 😛️ 🤬 (ノ｀Д)ノ滚~
满	满 🈵
演	演 🈦
火	火 🔥
灯	灯 💡
烂	烂 👎🏻️
烟	烟 🚬
烦	烦 😒 🤯
烫	烫 🥵
热	热 🥵
熊	熊 🐻
爪	爪 🫳🏻 🐾
爱	爱 ♥️
父	父 👨🏻️
爸	爸 👨🏻️
爽	爽 ☺️
牙	牙 🦷
牛	牛 🐮
特	特 ㊕ ㈵
犀	犀 🦏
犬	犬 🐕
狐	狐 🦊
狗	狗 🐶 🐕
狮	狮 🦁
狸	狸 🦫
狼	狼 🐺
猥	猥 🦔
猪	猪 🐷 🐖
猫	猫 🐱
猴	猴 🐵 🐒
猿	猿 🦧
獾	獾 🦡
王	王 🫅🏻
球	球 ⚽️
琴	琴 🎹️
瓦	瓦 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
瓶	瓶 🫙
生	生 🈢
申	申 🈸
电	电 ⚡️
男	男 ♂
画	画 🎨️ 🖼
白	白 ⬜️
百	百 佰
皂	皂 🧼
盐	盐 🧂
监	监 ㊬ ㈼
盔	盔 🪖
盗	盗 🉆
盘	盘 💽 💾 💿 📀
目	目 👁️
盯	盯 👁️
盲	盲 🧑🏻‍🦯
盾	盾 🛡️
看	看 👀
眼	眼 👀 👁
瞎	瞎 👨‍🦯
瞧	瞧 👀 |･ω･｀)
石	石 🪨
砖	砖 🧱
硴	硴 🦪
碗	碗 🥣
社	社 ㊓ ㈳
祝	祝 ㊗️
票	票 🎫️
祭	祭 ㉀
禁	禁 🈲
离	离 ☲
秃	秃 🧑🏻‍🦲
秋	秋 🀨
秒	秒 ″ ‴ 〃 ㎰ ㎱ ㎲ ㎳
秘	秘 ㊙️
秤	秤 ⚖️
积	积 ∏
稍	稍 🤌🏻
稻	稻 🌾️
空	空 🈳
窗	窗 🪟
窘	窘 😅️
窥	窥 🫣
竖	竖 丨 |
站	站 🧍🏻
竹	竹 🎍️ 🀤
笑	笑 😄 😊
笔	笔 ✏ ✒ 🖋 🖊
笛	笛 🪈
笨	笨 (～￣(OO)￣)ブ (っ*´Д`)っ
筝	筝 ㉇
筷	筷 🥢
签	签 🏷️
箫	箫 🪈
箭	箭 🏹️
箱	箱 📦
箸	箸 🥢
篮	篮 🧺
米	米 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞ ㍍
粪	粪 💩️
糖	糖 🍬
紫	紫 🟪
累	累 🥱
红	红 🟥
约	约 ≈
纸	纸 📄
线	线 🧵 🧶
终	终 🈡
结	结 🪢
绳	绳 🪢
绿	绿 🟩
罐	罐 🫙 🏺
网	网 🕸️
羊	羊 🐑
羞	羞 😚️ 🙈️
羽	羽 🪶
翅	翅 🪽
翼	翼 🪽
老	老 🧓🏻
耳	耳 👂
耶	耶 ✌️
聋	聋 🧏🏻 🦻🏻
肉	肉 🍖 🥩
肌	肌 💪🏻
肏	肏 🤬
肺	肺 🫁
胜	胜 🉇
胡	胡 🧔🏻
胫	胫 🦵🏻
脑	脑 🧠
脚	脚 🦶
脷	脷 👅️
腿	腿 🦵
自	自 ㉂
舌	舌 👅
舞	舞 💃🏻️
舵	舵 ☸️
船	船 🚢
艮	艮 ☶
色	色 😍
节	节 §
花	花 🌷
苗	苗 🌱️
苯	苯 ⌬ ⏣
茄	茄 🍆️
茶	茶 🍵
草	草 🌿️
药	药 💊️
莲	莲 🪷
菊	菊 🌼️ 🀥
菌	菌 🍄️
菜	菜 🥬
萌	萌 💠️ 😊️
营	营 🈺
蒜	蒜 🧄
蓝	蓝 🟦
藻	藻 🦠
虎	虎 🐯
虫	虫 🐛 🪱
虹	虹 🌈️
虺	虺 🐍️
虾	虾 🦐
蚁	蚁 🐜️
蚊	蚊 🦟
蚝	蚝 🦪
蛇	蛇 🐍
蛋	蛋 🥚
蛔	蛔 🪱
蛙	蛙 🐸️ 𓆏
蛛	蛛 🕷️
蛤	蛤 🐸
蛸	蛸 🐙️
蜂	蜂 🐝️
蜇	蜇 🪼
蜗	蜗 🐌️
蜜	蜜 🍯️
蜥	蜥 🦎
蝇	蝇 🪰
蝎	蝎 🦂️
蝠	蝠 🦇
蝶	蝶 🦋
螺	螺 🐚️
蟹	蟹 🦀
蠕	蠕 🪱
蠢	蠢 🐷️ 🤪
血	血 🩸
行	行 👌
表	表 ⌚️
袜	袜 🧦
装	装 🥸
裇	裇 👕️ 👚️
裙	裙 👗️
裤	裤 👖️
西	西 🀂
角	角 ∠
解	解 🈖
误	误 ✖️
说	说 🗣 👄
诶	诶 🤨
请	请 💁🏻
豆	豆 🫘 🫛
豌	豌 🫛
豕	豕 🐖️
象	象 🐘️ 🦣 𓃰
豸	豸 🐈️
豹	豹 🐆
貂	貂 🦡
贝	贝 🐚️
负	负 -
财	财 ㊖ ㈶
败	败 🉈
货	货 🚚️
贩	贩 🈣
贪	贪 🤑
资	资 ㊮ ㈾
赖	赖 ᕕ(ᐛ)ᕗ
赞	赞 👍
赤	赤 🟥
走	走 🚶🏻
足	足 🦶
跌	跌 📉️
跑	跑 🏃🏻 💨 ε=ε=ε=(~￣▽￣)~
跛	跛 🧑🏻‍🦼 🧑🏻‍🦽
跪	跪 🧎🏻 ○|￣|_ _|￣|○
路	路 🛣
踢	踢 🦶
踩	踩 🦶
车	车 🚗️ 🚘
轮	轮 🛞
辣	辣 🥵
适	适 ㊜
逃	逃 🏃‍ 💨 ε=ε=ε=┏(゜ロ゜;)┛
逆	逆 ¬
酒	酒 🍷
酷	酷 🆒
醉	醉 🥴 （〃｀3′〃）
金	金 ㊎ ㈮
针	针 🪡
钉	钉 📌 📍 📎
钗	钗 🪮
钩	钩 🪝
钱	钱 💰
铃	铃 🔔 🔕
锁	锁 🔒 🔓
锄	锄 ⛏️ ⚒
错	错 ❌ ❎
锚	锚 ⚓
锤	锤 🔨️
锯	锯 🪚
镐	镐 ⛏️
镜	镜 🪞
门	门 🚪
闻	闻 👃
阴	阴 🌥️
除	除 ➗
难	难 😵‍💫
雨	雨 🌧
雪	雪 ❄️
零	零 0️⃣
雷	雷 🌩️ ⚡
雾	雾 🌫
震	震 ☳
霾	霾 🌫
青	青 🟦
靠	靠 😧️
面	面 🍜 🍝
靴	靴 👢️
鞋	鞋 👞
页	页 ㌻
顶	顶 🆙
项	项 ㊠
须	须 🧔🏻
额	额 😢️ 😥️ 😿️
风	风 💨️ 🌬
饭	饭 🍚
饵	饵 🪤
饺	饺 🥟
饼	饼 🫓
饿	饿 😋 🤤
馋	馋 😋️ 🤤
馕	馕 🥙
马	马 🐴 🐎
驴	驴 🫏
驿	驿 🚉️
骂	骂 🤬
骗	骗 🤥
骨	骨 🦴 💀
髯	髯 🧔🏻
鬼	鬼 👻
魂	魂 👻️
鮨	鮨 🍣️
鱡	鱡 🦑
鱼	鱼 🐟
鲗	鲗 🦑
鲨	鲨 🦈
鲸	鲸 🐋️ 🐳
鳄	鳄 🐊️
鸟	鸟 🐦
鸡	鸡 🐔
鸭	鸭 🦆
鸮	鸮 🦉
鸽	鸽 🕊️ 🐦
鹅	鹅 🪿
鹰	鹰 🦅
鹿	鹿 🦌
麋	麋 🫎
麦	麦 🎙️ 🎤️
黄	黄 🟨
黑	黑 ⬛️
鼓	鼓 🥁
鼔	鼔 🥁
鼠	鼠 🐭
鼬	鼬 🦨
鼻	鼻 👃
齿	齿 🦷
龙	龙 🐲 🐉
龟	龟 🐢
𪠳	𪠳 🤪
𪡃	𪡃 😟️
𫙠	𫙠 🐬️
唱K	唱K 🪩
开party	开party 🥳
㞎㞎	㞎㞎 💩️
䲡鱼	䲡鱼 🦑
一个	一个 ☝️
一人	一人 👤️
一壶	一壶 🫖
一定	一定 🙆🏻
一撮	一撮 🤌🏻
一杯	一杯 🥃
一滴	一滴 💧
一点	一点 🤏 🕐
一百	一百 💯
一齐	一齐 🧑🏻‍🤝‍🧑🏻
七夕	七夕 🎋
七点	七点 🕖
万分	万分 ‱
万岁	万岁 🙌🏻！*★,°*:.☆(￣▽￣)/$:*.°★*。
丈夫	丈夫 🤵🏻‍♂️
三十	三十 卅 〺
三点	三点 🕒
三角	三角 🔺 🔻
上下	上下 ↕️ ↕
上升	上升 📈
上午	上午 ㏂
上头	上头 👆🏻️
上弦	上弦 🌓 🌛
上映	上映 📽
上涨	上涨 📈
上衣	上衣 👕
上课	上课 🧑🏻‍🏫
上边	上边 👆
上锁	上锁 🔒
上面	上面 👆
下午	下午 ㏘
下厨	下厨 👨‍🍳 👩‍🍳
下头	下头 👇🏻️
下弦	下弦 🌗 🌜
下跌	下跌 📉
下跪	下跪 🧎🏻
下边	下边 👇
下降	下降 📉
下雨	下雨 🌧
下雪	下雪 🌨 ❄️
下面	下面 👇
不丹	不丹 🇧🇹
不会	不会 😝️
不信	不信 😓️ 😳️
不准	不准 🚫
不听	不听 🙉
不哭	不哭 🤗️
不女	不女 🙅🏻‍♀️
不好	不好 👎
不屑	不屑 😒 🫤 (￣_,￣)
不干	不干 😝️ 🙅🏻
不强	不强 👎
不得	不得 🚫️
不悦	不悦 🙁
不懂	不懂 😕
不棒	不棒 👎
不满	不满 🙁
不爽	不爽 ☹️
不男	不男 🙅🏻‍♂️
不看	不看 🙈
不等	不等 ≠
不管	不管 🤷🏻
不行	不行 🙅‍♂️ 🙅‍♀️
不要	不要 😣️
不见	不见 😣️
不解	不解 🤔
不讲	不讲 🤐️
不许	不许 🚫
不说	不说 🤐 🙊
不通	不通 ⛔️ 🚧️
不错	不错 👍
专家	专家 🧑🏻‍🔬
世界	世界 🌐️ 🗺
东京	东京 🗻️
东加	东加 🇹🇴
丝带	丝带 🎗
両替	両替 💱️
丢脸	丢脸 🤦‍
两个	两个 ✌️
两人	两人 👥️
两仪	两仪 ☯️
两点	两点 🕑
严禁	严禁 🚫 🈲
严肃	严肃 (･᷄ὢ･᷅)
丧尸	丧尸 🧟‍♂️ 🧟‍♀️
中产	中产 🧑🏻‍💼
中国	中国 🇨🇳
中学	中学 🏫️
中指	中指 🖕
中秋	中秋 🎑
中药	中药 🌿
中非	中非 🇨🇫
丰收	丰收 🎑️
串串	串串 🍢
串烧	串烧 🍢️
丸子	丸子 🍡️
丹麦	丹麦 🇩🇰
为何	为何 🤔️
为啥	为啥 🤔️
